route,origin,destination,count,count_cancelled,count_diverted,TOTAL_CARRIER_DELAY,TOTAL_ARR_DELAY,TOTAL_LATE_AIRCRAFT_DELAY,TOTAL_NAS_DELAY,TOTAL_SECURITY_DELAY,TOTAL_WEATHER_DELAY,TOTAL_AVG_CARRIER_DELAY,TOTAL_AVG_ARR_DELAY,TOTAL_AVG_LATE_AIRCRAFT_DELAY,TOTAL_AVG_NAS_DELAY,TOTAL_AVG_SECURITY_DELAY,TOTAL_AVG_WEATHER_DELAY,AA_count,AS_count,B6_count,DL_count,EV_count,F9_count,MQ_count,OO_count,UA_count,US_count,VX_count,WN_count,AA_cancelled,AS_cancelled,B6_cancelled,DL_cancelled,EV_cancelled,F9_cancelled,MQ_cancelled,OO_cancelled,UA_cancelled,US_cancelled,VX_cancelled,WN_cancelled,AA_CARRIER_DELAY,AS_CARRIER_DELAY,B6_CARRIER_DELAY,DL_CARRIER_DELAY,EV_CARRIER_DELAY,F9_CARRIER_DELAY,MQ_CARRIER_DELAY,OO_CARRIER_DELAY,UA_CARRIER_DELAY,US_CARRIER_DELAY,VX_CARRIER_DELAY,WN_CARRIER_DELAY,AA_ARR_DELAY,AS_ARR_DELAY,B6_ARR_DELAY,DL_ARR_DELAY,EV_ARR_DELAY,F9_ARR_DELAY,MQ_ARR_DELAY,OO_ARR_DELAY,UA_ARR_DELAY,US_ARR_DELAY,VX_ARR_DELAY,WN_ARR_DELAY,AA_LATE_AIRCRAFT_DELAY,AS_LATE_AIRCRAFT_DELAY,B6_LATE_AIRCRAFT_DELAY,DL_LATE_AIRCRAFT_DELAY,EV_LATE_AIRCRAFT_DELAY,F9_LATE_AIRCRAFT_DELAY,MQ_LATE_AIRCRAFT_DELAY,OO_LATE_AIRCRAFT_DELAY,UA_LATE_AIRCRAFT_DELAY,US_LATE_AIRCRAFT_DELAY,VX_LATE_AIRCRAFT_DELAY,WN_LATE_AIRCRAFT_DELAY,AA_NAS_DELAY,AS_NAS_DELAY,B6_NAS_DELAY,DL_NAS_DELAY,EV_NAS_DELAY,F9_NAS_DELAY,MQ_NAS_DELAY,OO_NAS_DELAY,UA_NAS_DELAY,US_NAS_DELAY,VX_NAS_DELAY,WN_NAS_DELAY,AA_SECURITY_DELAY,AS_SECURITY_DELAY,B6_SECURITY_DELAY,DL_SECURITY_DELAY,EV_SECURITY_DELAY,F9_SECURITY_DELAY,MQ_SECURITY_DELAY,OO_SECURITY_DELAY,UA_SECURITY_DELAY,US_SECURITY_DELAY,VX_SECURITY_DELAY,WN_SECURITY_DELAY,AA_WEATHER_DELAY,AS_WEATHER_DELAY,B6_WEATHER_DELAY,DL_WEATHER_DELAY,EV_WEATHER_DELAY,F9_WEATHER_DELAY,MQ_WEATHER_DELAY,OO_WEATHER_DELAY,UA_WEATHER_DELAY,US_WEATHER_DELAY,VX_WEATHER_DELAY,WN_WEATHER_DELAY
DCA-DTW,DCA,DTW,165,1,0,164,24,24,24,24,120,25.5,0.414634146,27.08333333,11.625,0,5,,,,141,24,,,,,,,,,,,0,1,,,,,,,,,,,17.1,67.5,,,,,,,,,,,-0.90070922,8.47826087,,,,,,,,,,,29.35,15.75,,,,,,,,,,,8.45,27.5,,,,,,,,,,,0,0,,,,,,,,,,,6,0,,,,,,,
DCA-EWR,DCA,EWR,137,18,0,119,37,37,37,37,28,8.810810811,11.8487395,19.94594595,27.08108108,0,0.756756757,,,,,137,,,,,,,,,,,,18,,,,,,,,,,,,8.810810811,,,,,,,,,,,,11.8487395,,,,,,,,,,,,19.94594595,,,,,,,,,,,,27.08108108,,,,,,,,,,,,0,,,,,,,,,,,,0.756756757,,,,,,,
DCA-FLL,DCA,FLL,214,5,0,209,36,36,36,36,0,18.91666667,3.263157895,34.63888889,13.41666667,0,0,,,119,,,,,,,95,,,,,4,,,,,,,1,,,,,13.38888889,,,,,,,24.44444444,,,,,3.72173913,,,,,,,2.70212766,,,,,42.83333333,,,,,,,26.44444444,,,,,14.16666667,,,,,,,12.66666667,,,,,0,,,,,,,0,,,,,0,,,,,,,0,,
DCA-HOU,DCA,HOU,114,9,0,105,15,15,15,15,0,7.666666667,-7.828571429,41.26666667,7.066666667,0,0,,,,,,,,,,,,114,,,,,,,,,,,,9,,,,,,,,,,,,7.666666667,,,,,,,,,,,,-7.828571429,,,,,,,,,,,,41.26666667,,,,,,,,,,,,7.066666667,,,,,,,,,,,,0,,,,,,,,,,,,0
DCA-IAH,DCA,IAH,149,1,0,148,36,36,36,36,309,13.72222222,3.432432432,15.05555556,13.19444444,0,8.583333333,,,,,,,,,149,,,,,,,,,,,,1,,,,,,,,,,,,13.72222222,,,,,,,,,,,,3.432432432,,,,,,,,,,,,15.05555556,,,,,,,,,,,,13.19444444,,,,,,,,,,,,0,,,,,,,,,,,,8.583333333,,,
DCA-IND,DCA,IND,62,1,0,61,6,6,6,6,27,22.83333333,3.68852459,17,24.33333333,0,4.5,,,,,,,,,,,,62,,,,,,,,,,,,1,,,,,,,,,,,,22.83333333,,,,,,,,,,,,3.68852459,,,,,,,,,,,,17,,,,,,,,,,,,24.33333333,,,,,,,,,,,,0,,,,,,,,,,,,4.5
DCA-JAX,DCA,JAX,62,1,0,61,13,13,13,13,0,25.23076923,4.114754098,24.53846154,4.307692308,0,0,,,62,,,,,,,,,,,,1,,,,,,,,,,,,25.23076923,,,,,,,,,,,,4.114754098,,,,,,,,,,,,24.53846154,,,,,,,,,,,,4.307692308,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,
DCA-JFK,DCA,JFK,185,26,0,159,71,71,71,71,352,9.408450704,27.58490566,27.61971831,25.08450704,0.647887324,4.957746479,31,,,,,,154,,,,,,2,,,,,,24,,,,,,6.85,,,,,,10.41176471,,,,,,36.62068966,,,,,,25.56923077,,,,,,24.55,,,,,,28.82352941,,,,,,21.15,,,,,,26.62745098,,,,,,0,,,,,,0.901960784,,,,,,0,,,,,,6.901960784,,,,,
DCA-LAS,DCA,LAS,31,1,0,30,1,1,1,1,7,0,-15.3,0,45,0,7,,,,,,,,,,31,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,-15.3,,,,,,,,,,,,0,,,,,,,,,,,,45,,,,,,,,,,,,0,,,,,,,,,,,,7,,
DCA-LAX,DCA,LAX,93,0,0,93,14,14,14,14,484,6.785714286,-6.569892473,1.214285714,18.5,0,34.57142857,62,31,,,,,,,,,,,0,0,,,,,,,,,,,9.5,0,,,,,,,,,,,-8.370967742,-2.967741935,,,,,,,,,,,1.7,0,,,,,,,,,,,12.6,33.25,,,,,,,,,,,0,0,,,,,,,,,,,14.2,85.5,,,,,,,,,,
DCA-LGA,DCA,LGA,373,53,1,319,83,83,83,83,266,5.096385542,7.601880878,18.02409639,25.69879518,0,3.204819277,,,,,,,,,,373,,,,,,,,,,,,53,,,,,,,,,,,,5.096385542,,,,,,,,,,,,7.601880878,,,,,,,,,,,,18.02409639,,,,,,,,,,,,25.69879518,,,,,,,,,,,,0,,,,,,,,,,,,3.204819277,,
DCA-MCI,DCA,MCI,31,0,0,31,4,4,4,4,0,14.25,-5.096774194,20,9,0,0,,,,,,,,,,,,31,,,,,,,,,,,,0,,,,,,,,,,,,14.25,,,,,,,,,,,,-5.096774194,,,,,,,,,,,,20,,,,,,,,,,,,9,,,,,,,,,,,,0,,,,,,,,,,,,0
DCA-MCO,DCA,MCO,303,5,0,298,62,62,62,62,103,21.35483871,5.798657718,34.35483871,10.88709677,0,1.661290323,,,123,,,,,,,180,,,,,5,,,,,,,0,,,,,33.42307692,,,,,,,12.63888889,,,,,11.46610169,,,,,,,2.083333333,,,,,36.57692308,,,,,,,32.75,,,,,9.346153846,,,,,,,12,,,,,0,,,,,,,0,,,,,0,,,,,,,2.861111111,,
DCA-MDW,DCA,MDW,267,33,2,232,32,32,32,32,66,14.375,-5.607758621,22.15625,10.78125,0,2.0625,,,,,,,,,,,,267,,,,,,,,,,,,33,,,,,,,,,,,,14.375,,,,,,,,,,,,-5.607758621,,,,,,,,,,,,22.15625,,,,,,,,,,,,10.78125,,,,,,,,,,,,0,,,,,,,,,,,,2.0625
DCA-MIA,DCA,MIA,284,3,0,281,55,55,55,55,537,21.6,6.348754448,18.12727273,14.67272727,0,9.763636364,279,,,,,,,,,5,,,3,,,,,,,,,0,,,22.41509434,,,,,,,,,0,,,6.344202899,,,,,,,,,6.6,,,18.20754717,,,,,,,,,16,,,14.62264151,,,,,,,,,16,,,0,,,,,,,,,0,,,10.13207547,,,,,,,,,0,,
DCA-MKE,DCA,MKE,90,2,0,88,11,11,11,11,0,17.81818182,-4.931818182,18.54545455,6.454545455,0,0,,,,,,,,,,,,90,,,,,,,,,,,,2,,,,,,,,,,,,17.81818182,,,,,,,,,,,,-4.931818182,,,,,,,,,,,,18.54545455,,,,,,,,,,,,6.454545455,,,,,,,,,,,,0,,,,,,,,,,,,0
DCA-MSP,DCA,MSP,144,1,0,143,20,20,20,20,729,20.2,0.202797203,21,12.3,0,36.45,,,,144,,,,,,,,,,,,1,,,,,,,,,,,,20.2,,,,,,,,,,,,0.202797203,,,,,,,,,,,,21,,,,,,,,,,,,12.3,,,,,,,,,,,,0,,,,,,,,,,,,36.45,,,,,,,,
DCA-MSY,DCA,MSY,62,4,0,58,8,8,8,8,0,8.375,-4.189655172,19.625,11.5,0,0,,,,,,,,,,,,62,,,,,,,,,,,,4,,,,,,,,,,,,8.375,,,,,,,,,,,,-4.189655172,,,,,,,,,,,,19.625,,,,,,,,,,,,11.5,,,,,,,,,,,,0,,,,,,,,,,,,0
DCA-ORD,DCA,ORD,466,19,0,447,93,93,93,93,1291,5.677419355,9.718120805,37.33333333,25.61290323,0,13.88172043,267,,,,,,,106,93,,,,11,,,,,,,5,3,,,,2.3,,,,,,,6.7,10.2173913,,,,1.73046875,,,,,,,20.20792079,20.66666667,,,,42.1,,,,,,,32.83333333,34.91304348,,,,16.475,,,,,,,29.8,36.04347826,,,,0,,,,,,,0,0,,,,4.525,,,,,,,15.2,28.43478261,,,
DCA-PBI,DCA,PBI,100,2,0,98,15,15,15,15,6,12.86666667,2.683673469,16.6,36.4,0,0.4,,,35,,,,,,,65,,,,,0,,,,,,,2,,,,,12.16666667,,,,,,,13.33333333,,,,,4.257142857,,,,,,,1.80952381,,,,,23,,,,,,,12.33333333,,,,,39.33333333,,,,,,,34.44444444,,,,,0,,,,,,,0,,,,,0,,,,,,,0.666666667,,
DCA-PDX,DCA,PDX,31,0,0,31,4,4,4,4,5,0,-12.83870968,7.75,29.75,0,1.25,,31,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,-12.83870968,,,,,,,,,,,,7.75,,,,,,,,,,,,29.75,,,,,,,,,,,,0,,,,,,,,,,,,1.25,,,,,,,,,,
DCA-PHL,DCA,PHL,32,2,1,29,6,6,6,6,0,4.333333333,0.827586207,45.16666667,22.33333333,0,0,,,,,,,,,,32,,,,,,,,,,,,2,,,,,,,,,,,,4.333333333,,,,,,,,,,,,0.827586207,,,,,,,,,,,,45.16666667,,,,,,,,,,,,22.33333333,,,,,,,,,,,,0,,,,,,,,,,,,0,,
DCA-PHX,DCA,PHX,89,0,0,89,12,12,12,12,36,15.33333333,-1.516853933,11.66666667,15.16666667,0,3,,,,,,,,,,89,,,,,,,,,,,,0,,,,,,,,,,,,15.33333333,,,,,,,,,,,,-1.516853933,,,,,,,,,,,,11.66666667,,,,,,,,,,,,15.16666667,,,,,,,,,,,,0,,,,,,,,,,,,3,,
DCA-PIT,DCA,PIT,1,0,0,1,1,1,1,1,0,17,87,70,0,0,0,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,17,,,,,,,,,,,,87,,,,,,,,,,,,70,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,
DCA-RSW,DCA,RSW,122,5,0,117,18,18,18,18,48,27.94444444,3.709401709,40.72222222,13.55555556,0,2.666666667,,,35,,,,,,,56,,31,,,2,,,,,,,2,,1,,,42,,,,,,,6.555555556,,108,,,9.060606061,,,,,,,7.759259259,,-9.466666667,,,19.625,,,,,,,64,,0,,,10,,,,,,,18.22222222,,0,,,0,,,,,,,0,,0,,,0,,,,,,,5.333333333,,0
DCA-SEA,DCA,SEA,58,0,0,58,8,8,8,8,109,0,-10.53448276,4.875,36.5,0,13.625,,58,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,-10.53448276,,,,,,,,,,,,4.875,,,,,,,,,,,,36.5,,,,,,,,,,,,0,,,,,,,,,,,,13.625,,,,,,,,,,
DCA-SFO,DCA,SFO,62,0,0,62,6,6,6,6,105,21.5,-8.677419355,0,11.33333333,0,17.5,,,,,,,,,31,,31,,,,,,,,,,0,,0,,,,,,,,,,25.8,,0,,,,,,,,,,-2.290322581,,-15.06451613,,,,,,,,,,0,,0,,,,,,,,,,5,,43,,,,,,,,,,0,,0,,,,,,,,,,21,,0,
DCA-SJU,DCA,SJU,31,1,0,30,5,5,5,5,0,39.8,5.433333333,5.4,28.2,0,0,,,31,,,,,,,,,,,,1,,,,,,,,,,,,39.8,,,,,,,,,,,,5.433333333,,,,,,,,,,,,5.4,,,,,,,,,,,,28.2,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,
DCA-SLC,DCA,SLC,56,0,0,56,5,5,5,5,266,22,-3.178571429,33,7.2,0,53.2,,,,56,,,,,,,,,,,,0,,,,,,,,,,,,22,,,,,,,,,,,,-3.178571429,,,,,,,,,,,,33,,,,,,,,,,,,7.2,,,,,,,,,,,,0,,,,,,,,,,,,53.2,,,,,,,,
DCA-STL,DCA,STL,88,3,0,85,7,7,7,7,16,0.142857143,-6.670588235,34.28571429,12.85714286,0,2.285714286,,,,,,,,,,,,88,,,,,,,,,,,,3,,,,,,,,,,,,0.142857143,,,,,,,,,,,,-6.670588235,,,,,,,,,,,,34.28571429,,,,,,,,,,,,12.85714286,,,,,,,,,,,,0,,,,,,,,,,,,2.285714286
DCA-TPA,DCA,TPA,243,7,0,236,31,31,31,31,45,22.77419355,-3.347457627,15.83870968,11.87096774,0,1.451612903,,,67,,,,,,,114,,62,,,2,,,,,,,5,,0,,,19.92307692,,,,,,,34.7,,12.5,,,0.676923077,,,,,,,-4.137614679,,-6.177419355,,,15.61538462,,,,,,,12.5,,20.375,,,14.07692308,,,,,,,12.5,,7.5,,,0,,,,,,,0,,0,,,0,,,,,,,3.4,,1.375
DEN-DCA,DEN,DCA,122,0,0,122,31,31,31,31,8,12.09677419,11.68032787,17.16129032,25.06451613,0,0.258064516,,,,,,91,,,31,,,,,,,,,0,,,0,,,,,,,,,12.625,,,10.28571429,,,,,,,,,14.3956044,,,3.709677419,,,,,,,,,22.08333333,,,0.285714286,,,,,,,,,27.75,,,15.85714286,,,,,,,,,0,,,0,,,,,,,,,0,,,1.142857143,,,
DEN-IAD,DEN,IAD,305,4,1,300,92,92,92,92,194,21.16304348,12.05,19.64130435,6.489130435,0.380434783,2.108695652,,,,,,,,,220,,,85,,,,,,,,,4,,,0,,,,,,,,,24.51470588,,,11.66666667,,,,,,,,,12.02314815,,,12.11904762,,,,,,,,,14.57352941,,,34,,,,,,,,,6.544117647,,,6.333333333,,,,,,,,,0,,,1.458333333,,,,,,,,,2.852941176,,,0
DEN-PHF,DEN,PHF,3,0,0,3,1,1,1,1,0,0,-5.333333333,8,9,0,0,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,-5.333333333,,,,,,,,,,,,8,,,,,,,,,,,,9,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,
DFW-DCA,DFW,DCA,291,5,2,284,50,50,50,50,23,18.34,6.767605634,14.74,14.56,0,0.46,291,,,,,,,,,,,,5,,,,,,,,,,,,18.34,,,,,,,,,,,,6.767605634,,,,,,,,,,,,14.74,,,,,,,,,,,,14.56,,,,,,,,,,,,0,,,,,,,,,,,,0.46,,,,,,,,,,,
DFW-IAD,DFW,IAD,91,1,0,90,18,18,18,18,3,12.27777778,6.733333333,27,3.944444444,0,0.166666667,91,,,,,,,,,,,,1,,,,,,,,,,,,12.27777778,,,,,,,,,,,,6.733333333,,,,,,,,,,,,27,,,,,,,,,,,,3.944444444,,,,,,,,,,,,0,,,,,,,,,,,,0.166666667,,,,,,,,,,,
DFW-ORF,DFW,ORF,57,0,0,57,16,16,16,16,10,21.8125,10.36842105,10.3125,7.1875,1.4375,0.625,57,,,,,,,,,,,,0,,,,,,,,,,,,21.8125,,,,,,,,,,,,10.36842105,,,,,,,,,,,,10.3125,,,,,,,,,,,,7.1875,,,,,,,,,,,,1.4375,,,,,,,,,,,,0.625,,,,,,,,,,,
DFW-RIC,DFW,RIC,63,1,0,62,13,13,13,13,4,15,7.951612903,29.84615385,2.384615385,0,0.307692308,63,,,,,,,,,,,,1,,,,,,,,,,,,15,,,,,,,,,,,,7.951612903,,,,,,,,,,,,29.84615385,,,,,,,,,,,,2.384615385,,,,,,,,,,,,0,,,,,,,,,,,,0.307692308,,,,,,,,,,,
DTW-DCA,DTW,DCA,165,1,0,164,24,24,24,24,235,18.83333333,-2.347560976,10.33333333,17.75,0,9.791666667,,,,140,25,,,,,,,,,,,0,1,,,,,,,,,,,20.84210526,11.2,,,,,,,,,,,-2.921428571,1,,,,,,,,,,,9.894736842,12,,,,,,,,,,,18,16.8,,,,,,,,,,,0,0,,,,,,,,,,,12.36842105,0,,,,,,,
DTW-IAD,DTW,IAD,38,0,0,38,16,16,16,16,7,7.5625,16.97368421,36,5.875,0,0.4375,,,,1,17,2,,18,,,,,,,,0,0,0,,0,,,,,,,,51,2.222222222,0,,10,,,,,,,,53,26.82352941,6.5,,6.833333333,,,,,,,,0,46.88888889,0,,30.8,,,,,,,,2,4.777777778,17,,6.4,,,,,,,,0,0,0,,0,,,,,,,,0,0,7,,0,,,,
DTW-ORF,DTW,ORF,18,0,0,18,6,6,6,6,0,27.83333333,13.16666667,22.5,11.5,0,0,,,,2,16,,,,,,,,,,,0,0,,,,,,,,,,,,27.83333333,,,,,,,,,,,-19.5,17.25,,,,,,,,,,,,22.5,,,,,,,,,,,,11.5,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
DTW-RIC,DTW,RIC,54,2,0,52,13,13,13,13,0,21,6.807692308,14.53846154,21.61538462,0,0,,,,,54,,,,,,,,,,,,2,,,,,,,,,,,,21,,,,,,,,,,,,6.807692308,,,,,,,,,,,,14.53846154,,,,,,,,,,,,21.61538462,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
EWR-DCA,EWR,DCA,136,16,0,120,38,38,38,38,0,11.05263158,9.2,11.36842105,17.5,0,0,,,,,136,,,,,,,,,,,,16,,,,,,,,,,,,11.05263158,,,,,,,,,,,,9.2,,,,,,,,,,,,11.36842105,,,,,,,,,,,,17.5,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
EWR-IAD,EWR,IAD,109,10,0,99,35,35,35,35,103,14.34285714,16.52525253,16.6,17.6,0,2.942857143,,,,,109,,,,,,,,,,,,10,,,,,,,,,,,,14.34285714,,,,,,,,,,,,16.52525253,,,,,,,,,,,,16.6,,,,,,,,,,,,17.6,,,,,,,,,,,,0,,,,,,,,,,,,2.942857143,,,,,,,
EWR-ORF,EWR,ORF,51,5,0,46,8,8,8,8,0,45,5.782608696,4.625,19.625,0,0,,,,,51,,,,,,,,,,,,5,,,,,,,,,,,,45,,,,,,,,,,,,5.782608696,,,,,,,,,,,,4.625,,,,,,,,,,,,19.625,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
EWR-RIC,EWR,RIC,87,9,0,78,26,26,26,26,0,34.34615385,17.30769231,25.23076923,5.192307692,0,0,,,,,87,,,,,,,,,,,,9,,,,,,,,,,,,34.34615385,,,,,,,,,,,,17.30769231,,,,,,,,,,,,25.23076923,,,,,,,,,,,,5.192307692,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
FLL-DCA,FLL,DCA,214,5,1,208,36,36,36,36,0,27.30555556,4.932692308,15.05555556,13.72222222,2.027777778,0,,,119,,,,,,,95,,,,,4,,,,,,,1,,,,,26.09090909,,,,,,,29.21428571,,,,,6.365217391,,,,,,,3.161290323,,,,,14.90909091,,,,,,,15.28571429,,,,,9.090909091,,,,,,,21,,,,,3.318181818,,,,,,,0,,,,,0,,,,,,,0,,
FLL-IAD,FLL,IAD,23,0,0,23,9,9,9,9,0,18.66666667,30.91304348,41.11111111,24.44444444,0,0,,,,,,23,,,,,,,,,,,,0,,,,,,,,,,,,18.66666667,,,,,,,,,,,,30.91304348,,,,,,,,,,,,41.11111111,,,,,,,,,,,,24.44444444,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,
FLL-RIC,FLL,RIC,31,1,0,30,9,9,9,9,140,24.55555556,13.33333333,11.88888889,0.444444444,1.777777778,15.55555556,,,31,,,,,,,,,,,,1,,,,,,,,,,,,24.55555556,,,,,,,,,,,,13.33333333,,,,,,,,,,,,11.88888889,,,,,,,,,,,,0.444444444,,,,,,,,,,,,1.777777778,,,,,,,,,,,,15.55555556,,,,,,,,,
GSO-IAD,GSO,IAD,44,1,0,43,8,8,8,8,0,0.875,1.139534884,34.375,7.875,0,0,,,,,44,,,,,,,,,,,,1,,,,,,,,,,,,0.875,,,,,,,,,,,,1.139534884,,,,,,,,,,,,34.375,,,,,,,,,,,,7.875,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
GSO-ROA,GSO,ROA,1,1,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSP-IAD,GSP,IAD,6,0,0,6,1,1,1,1,0,0,1.333333333,0,22,0,0,,,,,6,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,1.333333333,,,,,,,,,,,,0,,,,,,,,,,,,22,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
HDN-IAD,HDN,IAD,2,0,0,2,1,1,1,1,69,0,28.5,0,16,0,69,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,28.5,,,,,,,,,,,,0,,,,,,,,,,,,16,,,,,,,,,,,,0,,,,,,,,,,,,69,,,
HNL-IAD,HNL,IAD,9,0,0,9,1,1,1,1,0,0,-2.444444444,41,4,0,0,,,,,,,,,9,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,-2.444444444,,,,,,,,,,,,41,,,,,,,,,,,,4,,,,,,,,,,,,0,,,,,,,,,,,,0,,,
HOU-DCA,HOU,DCA,115,5,0,110,19,19,19,19,0,9.157894737,2.336363636,27.05263158,5.578947368,0,0,,,,,,,,,,,,115,,,,,,,,,,,,5,,,,,,,,,,,,9.157894737,,,,,,,,,,,,2.336363636,,,,,,,,,,,,27.05263158,,,,,,,,,,,,5.578947368,,,,,,,,,,,,0,,,,,,,,,,,,0
HSV-IAD,HSV,IAD,2,0,0,2,1,1,1,1,0,0,8,14,1,0,0,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,8,,,,,,,,,,,,14,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
